video,group,name,error,fps,n_frames,duration_s,width,height,sampled_frames,people_max,people_median,people_max_conf,people_mean_conf,frac_frames_2plus,multi_person,frac_no_pose,median_key_visibility,n_frames_lowvis,frac_lowvis,shooter_jump_median_diag_per_s,shooter_jump_p90_diag_per_s,cam_shift_median_wpers,cam_shift_p90_wpers,absdiff_median,lum_mean,lum_std,content_area_frac,content_box,subject_h_median,pair_iou_median,multi_frames,frac_multi_overlapping,yolo_people_max,yolo_people_median,yolo_frac_2plus,yolo_biggest_h_median,yolo_second_h_median,panel_frac,panel_box,panel_lum_mean,panel_lum_std,frac_intruder_in_crop,median_iou_nearest,yolo_shooter_jump_bh_per_s,second_person_size_ratio,multi_person_yolo,subject_h_yolo,bucket,bucket_reason
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpracticeshooting.mp4,ShootingVideosDataset,Lethalshooterpracticeshooting.mp4,,30.0,99,3.3,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9842,0,0.0,0.1827,0.7504,0.0169,0.0324,1.1748,161.7,42.7,1.0,"0,0,1280,720",0.4656,,0,,4,3.0,1.0,0.515,0.383,0.609,"346,73,1245,697",161.5,43.3,0.667,0.034,0.252,0.744,True,0.515,REJECT,second player of comparable size (0.74x shooter) inside the shooter crop in 67% of frames -- crop cannot isolate a single shooter
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\LethalShooterRightCourner3ptshooting1.mp4,ShootingVideosDataset,LethalShooterRightCourner3ptshooting1.mp4,,30.0,69,2.3,404,720,32,2,1.0,2,1.03,0.031,False,0.0,0.971,0,0.0,0.4601,1.4075,0.0262,0.0974,3.0316,105.3,67.8,1.0,"0,0,404,720",0.2884,0.3477,1,1.0,2,2.0,0.958,0.324,0.089,0.982,"0,13,404,720",105.8,68.0,0.0,0.0,0.36,0.275,True,0.324,KEEP_NEEDS_PREPROCESSING,camera pans 0.026 frame-widths/s -- body_rise_ratio unusable without stabilisation
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Mikedunn3ptshooting3.mp4,ShootingVideosDataset,Mikedunn3ptshooting3.mp4,,30.0,75,2.5,1280,720,32,0,0.0,0,0.0,0.0,False,1.0,,0,0.0,,,0.0016,0.0031,0.1731,115.6,53.1,1.0,"0,0,1280,720",,,0,,1,1.0,0.0,0.271,,0.557,"198,67,1082,648",120.9,53.6,,,,,False,0.271,KEEP_NEEDS_PREPROCESSING,subject only 0.27 of frame height (no-pose 100%) -- crop+upscale
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Salahairballtest.mp4,ShootingVideosDataset,Salahairballtest.mp4,,30.0,212,7.07,1280,720,32,1,0.0,1,0.38,0.0,False,0.625,0.994,0,0.0,0.9278,1.2127,0.0056,0.0216,0.6446,122.9,44.4,1.0,"0,0,1280,720",0.391,,0,,1,1.0,0.0,0.412,,0.841,"129,39,1280,712",122.2,45.5,,,,,False,0.412,KEEP_NEEDS_PREPROCESSING,pose missing in 62% of sampled frames
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting1.mp4,ShootingVideosDataset,Stephcurryleftcourner3ptshooting1.mp4,,30.0,77,2.57,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9356,0,0.0,0.4758,0.9009,0.0366,0.1013,8.7076,145.4,64.8,1.0,"0,0,1280,720",0.6632,,0,,12,8.0,1.0,0.715,0.298,1.0,"0,0,1280,720",145.4,64.8,0.583,0.0,0.549,0.417,True,0.715,KEEP_NEEDS_PREPROCESSING,"camera pans 0.037 frame-widths/s -- body_rise_ratio unusable without stabilisation; another person enters the shooter crop in 58% of frames -- needs shooter tracking, not a static crop"
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting3miss.mp4,ShootingVideosDataset,Stephcurryleftcourner3ptshooting3miss.mp4,,30.0,77,2.57,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9656,0,0.0,0.305,0.7369,0.0158,0.045,5.1207,150.9,65.0,1.0,"0,0,1280,720",0.7758,,0,,10,6.0,1.0,0.787,0.297,1.0,"0,0,1280,720",150.9,65.0,0.125,0.0,0.366,0.377,True,0.787,KEEP_CLEAN,
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting4miss.mp4,ShootingVideosDataset,Stephcurryleftcourner3ptshooting4miss.mp4,,30.0,76,2.53,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.981,0,0.0,0.306,0.6797,0.0282,0.0851,7.2334,150.7,63.9,1.0,"0,0,1280,720",0.6695,,0,,11,6.0,1.0,0.75,0.293,1.0,"0,0,1280,720",150.7,63.8,0.292,0.0,0.223,0.391,True,0.75,KEEP_NEEDS_PREPROCESSING,"camera pans 0.028 frame-widths/s -- body_rise_ratio unusable without stabilisation; another person enters the shooter crop in 29% of frames -- needs shooter tracking, not a static crop"
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting5.mp4,ShootingVideosDataset,Stephcurryleftcourner3ptshooting5.mp4,,30.0,92,3.07,1280,720,32,1,1.0,1,1.0,0.0,False,0.0,0.9792,0,0.0,0.1857,0.8923,0.0144,0.0586,5.7267,152.9,63.6,1.0,"0,0,1280,720",0.7046,,0,,9,6.0,1.0,0.816,0.343,1.0,"0,0,1280,720",152.9,63.6,0.375,0.0,0.235,0.42,True,0.816,KEEP_NEEDS_PREPROCESSING,"another person enters the shooter crop in 38% of frames -- needs shooter tracking, not a static crop"
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting1_jumpshoot.mp4,ShootingVideosDataset,Stephcurryleftwing3ptshooting1_jumpshoot.mp4,,30.0,77,2.57,1280,720,32,2,1.0,2,0.75,0.031,False,0.281,0.9868,0,0.0,0.4822,1.144,0.0674,0.1746,10.3671,147.4,63.9,1.0,"0,0,1280,720",0.3691,0.6657,1,1.0,7,6.0,1.0,0.365,0.238,1.0,"0,0,1280,720",147.3,64.0,0.375,0.0,0.597,0.652,True,0.365,KEEP_NEEDS_PREPROCESSING,"pose missing in 28% of sampled frames; camera pans 0.067 frame-widths/s -- body_rise_ratio unusable without stabilisation; another person enters the shooter crop in 38% of frames -- needs shooter tracking, not a static crop"
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting6_jumpshoot.mp4,ShootingVideosDataset,Stephcurryleftwing3ptshooting6_jumpshoot.mp4,,24.0,78,3.25,998,720,32,2,1.0,1,0.78,0.0,False,0.219,0.9092,0,0.0,0.2141,0.4602,0.0074,0.0121,2.6408,89.9,75.3,1.0,"0,0,998,720",0.4407,,0,,6,5.0,1.0,0.461,0.259,0.726,"0,0,725,720",118.1,69.7,0.625,0.003,0.225,0.562,True,0.461,REJECT,second player of comparable size (0.56x shooter) inside the shooter crop in 62% of frames -- crop cannot isolate a single shooter
c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting7_jumpshoot.mp4,ShootingVideosDataset,Stephcurryleftwing3ptshooting7_jumpshoot.mp4,,24.0,75,3.12,982,720,32,1,1.0,1,0.75,0.0,False,0.25,0.9262,0,0.0,0.3267,0.8967,0.0093,0.0169,2.3356,91.1,74.5,1.0,"0,0,982,720",0.4366,,0,,8,6.0,1.0,0.47,0.271,0.738,"0,0,725,720",117.7,69.0,0.458,0.0,0.265,0.577,True,0.47,KEEP_NEEDS_PREPROCESSING,"pose missing in 25% of sampled frames; another person enters the shooter crop in 46% of frames -- needs shooter tracking, not a static crop"
