epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,20780.9,1.1609,0.79964,1.48765,0.93513,0.92061,0.95136,0.72875,0.96879,0.52391,1.2823,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,21054.2,1.15568,0.79989,1.48651,0.93963,0.92166,0.95066,0.72785,0.97398,0.52131,1.28587,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,21327.1,1.14303,0.78194,1.4844,0.95106,0.91123,0.9513,0.72938,0.97598,0.51679,1.28768,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,21596.4,1.14793,0.78314,1.48334,0.94303,0.9156,0.95041,0.7324,0.96837,0.51362,1.27681,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,21864.6,1.14716,0.78589,1.48141,0.94166,0.91445,0.95289,0.73573,0.96283,0.51247,1.2702,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,22140.4,1.14035,0.7743,1.47496,0.9335,0.92305,0.94748,0.73457,0.96207,0.51787,1.269,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,22414.5,1.13993,0.7697,1.47676,0.92028,0.93081,0.9475,0.73293,0.96173,0.52037,1.26672,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,22687.1,1.1418,0.7804,1.46667,0.91938,0.93744,0.94945,0.73105,0.95711,0.51916,1.26586,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,22954.9,1.12565,0.7681,1.46207,0.9196,0.93078,0.94737,0.73327,0.95968,0.51269,1.26764,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,23225.9,1.13172,0.75974,1.46133,0.94202,0.91735,0.94972,0.73165,0.95918,0.51071,1.26451,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,23501,1.13268,0.7692,1.45983,0.9378,0.91366,0.94978,0.73529,0.95622,0.50768,1.26433,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,23781.3,1.13389,0.74556,1.46361,0.94182,0.91335,0.94953,0.7374,0.95669,0.50401,1.2643,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,24054.9,1.12556,0.74651,1.45295,0.94202,0.9149,0.95083,0.73653,0.95568,0.50404,1.26278,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,24321.5,1.12022,0.75343,1.45166,0.93047,0.92447,0.95027,0.73698,0.95424,0.50433,1.26301,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,24587.3,1.11338,0.74525,1.44956,0.94309,0.91875,0.95035,0.73771,0.95193,0.50418,1.26126,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,24881.7,1.11799,0.74384,1.44542,0.93919,0.92503,0.95025,0.73661,0.95357,0.50448,1.25929,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,25149,1.10707,0.72891,1.44245,0.93575,0.9264,0.94742,0.7351,0.95046,0.50623,1.25694,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,25415,1.10862,0.72545,1.43881,0.92827,0.92942,0.94658,0.73744,0.94841,0.50609,1.25488,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,25681,1.10637,0.71805,1.43925,0.92993,0.93047,0.94626,0.73898,0.94784,0.50562,1.25303,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,25949.1,1.09627,0.72996,1.43213,0.93083,0.92966,0.94703,0.74048,0.94615,0.50391,1.25087,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
